theme_id,name,parent_id
1,Technic,-1
2,Duplo,-1
3,Technic,-1
4,Town,-1
5,Castle,-1
6,Space,-1
7,Pirates,-1
8,Castle,-1
9,Creator,-1
10,Trains,-1
11,Racers,-1
12,Mindstorms,-1
13,Bionicle,-1
14,Harry Potter,-1
15,Star Wars,-1
16,City,-1
17,Dacta,-1
18,Star Wars,-1
19,Racers,-1
20,Basketball,-1
21,Sports,-1
22,Adventurers,-1
23,System,-1
24,4 Juniors,-1
25,Orient Expedition,-1
26,Vikings,-1
27,Aquazone,-1
28,Znap,-1
29,The Lego Movie,-1
30,Ninjago,-1
31,Friends,-1
32,Legends Of Chima,-1
33,Elves,-1
34,Nexo Knights,-1
35,Hidden Side,-1
36,Overwatch,-1
37,Jurassic World,-1
38,Lord Of The Rings,-1
39,The Hobbit,-1
40,Dc Comics Super Heroes,-1
41,Marvel Super Heroes,-1
42,Disney Princess,-1
43,Angry Birds,-1
44,Minecraft,-1
45,Harry Potter,-1
46,Ideas,-1
47,Architecture,-1
48,Mindstorms,-1
49,Technic,-1
50,Speed Champions,-1
51,Seasonal,-1
52,Brickheadz,-1
53,Creator Expert,-1
54,Modular Buildings,-1
55,City,-1
56,Ninjago,-1
57,Space,-1
58,Castle,-1
59,Pirates,-1
60,Town,-1
61,Classic,-1
62,Boost,-1
63,Super Mario,-1
64,Monkie Kid,-1
65,Avatar,-1
66,Vidiyo,-1
67,Classic,-1
