set_num,name,year,theme_id,num_parts,theme_name,decade,decade_label,complexity,era
001-1,Gears,1965,1,43,Technic,1960,1960s,Simple,Classic (pre-1970)
0011-2,Town Mini-Figures,1979,67,12,Classic,1970,1970s,Simple,Golden Age (1970-1989)
0011-3,Castle Mini-Figures,1979,67,12,Classic,1970,1970s,Simple,Golden Age (1970-1989)
0012-1,Space Mini-Figures,1979,67,12,Classic,1970,1970s,Simple,Golden Age (1970-1989)
0013-1,Space Mini-Figures,1979,67,12,Classic,1970,1970s,Simple,Golden Age (1970-1989)
1-1,Weetabix Promotional Legoland Set,1976,1,43,Technic,1970,1970s,Simple,Golden Age (1970-1989)
10-1,Roof Tiles,1976,1,6,Technic,1970,1970s,Simple,Golden Age (1970-1989)
10-4,Mosaic,1976,1,6,Technic,1970,1970s,Simple,Golden Age (1970-1989)
100-1,Brick Box,1980,1,100,Technic,1980,1980s,Standard,Golden Age (1970-1989)
1000-1,Lego Cardboard Mosaic,1981,1,1,Technic,1980,1980s,Simple,Golden Age (1970-1989)
1001-1,Mosaic,1981,1,1,Technic,1980,1980s,Simple,Golden Age (1970-1989)
1002-1,Mosaic,1981,1,1,Technic,1980,1980s,Simple,Golden Age (1970-1989)
1003-1,Mosaic,1981,1,1,Technic,1980,1980s,Simple,Golden Age (1970-1989)
1004-1,Mosaic,1981,1,1,Technic,1980,1980s,Simple,Golden Age (1970-1989)
1005-1,Mosaic,1981,1,1,Technic,1980,1980s,Simple,Golden Age (1970-1989)
10000-1,Millennium Falcon,2000,18,793,Star Wars,2000,2000s,Advanced,2000s Expansion
10001-1,Santa Fe Super Chief,2001,9,672,Creator,2000,2000s,Advanced,2000s Expansion
10002-1,Large Lego Brick,2002,1,1,Technic,2000,2000s,Simple,2000s Expansion
10003-1,Star Wars Trilogy,2002,18,898,Star Wars,2000,2000s,Advanced,2000s Expansion
10004-1,Classic Town,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10005-1,Black Falcon'S Fortress,2002,8,692,Castle,2000,2000s,Advanced,2000s Expansion
10006-1,Darth Vader,2002,18,600,Star Wars,2000,2000s,Advanced,2000s Expansion
10007-1,Black Knight'S Castle,2002,8,712,Castle,2000,2000s,Advanced,2000s Expansion
10008-1,Darth Vader,2003,18,834,Star Wars,2000,2000s,Advanced,2000s Expansion
10009-1,Lego Factory,2003,1,1,Technic,2000,2000s,Simple,2000s Expansion
10010-1,Skeleton Tower,2003,8,445,Castle,2000,2000s,Advanced,2000s Expansion
10011-1,Technic Motorised Excavator,2003,3,1180,Technic,2000,2000s,Expert,2000s Expansion
10012-1,Super Star Destroyer,2003,18,3104,Star Wars,2000,2000s,Expert,2000s Expansion
10013-1,Open-Ended Basic Bucket,2004,1,200,Technic,2000,2000s,Standard,2000s Expansion
10014-1,Crane Truck,2004,4,296,Town,2000,2000s,Standard,2000s Expansion
10015-1,Motorised Bulldozer,2004,3,1384,Technic,2000,2000s,Expert,2000s Expansion
10016-1,Technic Tow Truck,2004,3,1096,Technic,2000,2000s,Expert,2000s Expansion
10017-1,Castle Giant Chess Set,2004,8,1454,Castle,2000,2000s,Expert,2000s Expansion
10018-1,Darth Maul,2001,18,1868,Star Wars,2000,2000s,Expert,2000s Expansion
10019-1,Rebel Blockade Runner,2001,18,1748,Star Wars,2000,2000s,Expert,2000s Expansion
10020-1,Santa Fe Super Chief,2002,9,724,Creator,2000,2000s,Advanced,2000s Expansion
10021-1,U.S.S. Nimitz,2002,9,1418,Creator,2000,2000s,Expert,2000s Expansion
10022-1,Santa Fe Super Chief,2002,9,1500,Creator,2000,2000s,Expert,2000s Expansion
10023-1,Statue Of Liberty,2000,9,2882,Creator,2000,2000s,Expert,2000s Expansion
10024-1,Red Baron,2000,9,294,Creator,2000,2000s,Standard,2000s Expansion
10025-1,Santa Fe Cars Set,2003,9,866,Creator,2000,2000s,Advanced,2000s Expansion
10026-1,Naboo Starfighter,2002,18,187,Star Wars,2000,2000s,Standard,2000s Expansion
10027-1,Train Engine,2003,9,696,Creator,2000,2000s,Advanced,2000s Expansion
10028-1,Lego Logo,2003,1,1,Technic,2000,2000s,Simple,2000s Expansion
10029-1,Lunar Lander,2003,9,369,Creator,2000,2000s,Advanced,2000s Expansion
10030-1,Imperial Star Destroyer,2002,18,3104,Star Wars,2000,2000s,Expert,2000s Expansion
10031-1,Technic Supercar,2004,3,1368,Technic,2000,2000s,Expert,2000s Expansion
10032-1,City Train And Station,2004,9,849,Creator,2000,2000s,Advanced,2000s Expansion
10033-1,Train Set With Motor,2004,9,821,Creator,2000,2000s,Advanced,2000s Expansion
10034-1,Dino Head Attack,2005,9,592,Creator,2000,2000s,Advanced,2000s Expansion
10035-1,Cargo Crane,2005,9,744,Creator,2000,2000s,Advanced,2000s Expansion
10036-1,Fire Station,2006,67,684,Classic,2000,2000s,Advanced,2000s Expansion
10037-1,Camp Lego,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10038-1,Blacktron Ii,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10039-1,Black Seas Barracuda,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10040-1,Black Knight'S Castle,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10041-1,Castle,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10042-1,Legoland,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10043-1,Creative Studios,2004,1,1,Technic,2000,2000s,Simple,2000s Expansion
10044-1,Yellow City People,2004,67,6,Classic,2000,2000s,Simple,2000s Expansion
10045-1,City Bus,2004,67,1,Classic,2000,2000s,Simple,2000s Expansion
10046-1,Brick Box,2004,1,200,Technic,2000,2000s,Standard,2000s Expansion
10047-1,Stars Of The Silver Screen,2004,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10048-1,Jango Fett,2003,18,659,Star Wars,2000,2000s,Advanced,2000s Expansion
10049-1,Tow Truck,2004,4,296,Town,2000,2000s,Standard,2000s Expansion
10050-1,Imperial Star Destroyer Collectors Set,2002,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10051-1,Super Star Destroyer,2003,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10052-1,At-At Walker,2003,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10053-1,Death Star Ii,2005,18,3441,Star Wars,2000,2000s,Expert,2000s Expansion
10054-1,Technic Model Set,2004,3,1,Technic,2000,2000s,Simple,2000s Expansion
10055-1,At-St Walker,2004,18,422,Star Wars,2000,2000s,Advanced,2000s Expansion
10056-1,Ewok Attack,2004,18,241,Star Wars,2000,2000s,Standard,2000s Expansion
10057-1,Jedi Duel,2005,18,243,Star Wars,2000,2000s,Standard,2000s Expansion
10058-1,Technic Bulldozer,2005,3,1384,Technic,2000,2000s,Expert,2000s Expansion
10059-1,Battle Of Hoth,2006,18,730,Star Wars,2000,2000s,Advanced,2000s Expansion
10060-1,Leonardo Da Vinci,2006,9,485,Creator,2000,2000s,Advanced,2000s Expansion
10061-1,Anakin'S Podracer,2006,18,192,Star Wars,2000,2000s,Standard,2000s Expansion
10062-1,Flying Dutchman,2006,9,0,Creator,2000,2000s,Unknown,2000s Expansion
10063-1,Technic Supercar,2006,3,1281,Technic,2000,2000s,Expert,2000s Expansion
10064-1,Motorized Excavator,2006,3,1180,Technic,2000,2000s,Expert,2000s Expansion
10065-1,Motorized Crane Truck,2006,3,1092,Technic,2000,2000s,Expert,2000s Expansion
10066-1,Academy X-Wing Fighter,2006,18,192,Star Wars,2000,2000s,Standard,2000s Expansion
10067-1,Technic Ultimate Motors Set,2006,3,1,Technic,2000,2000s,Simple,2000s Expansion
10068-1,Mindstorms Accessories Set,2006,48,1,Mindstorms,2000,2000s,Simple,2000s Expansion
10069-1,Creative Building Set,2006,1,405,Technic,2000,2000s,Advanced,2000s Expansion
10070-1,Creative Building Tower,2006,1,270,Technic,2000,2000s,Standard,2000s Expansion
10071-1,Police Sets,2006,67,1,Classic,2000,2000s,Simple,2000s Expansion
10072-1,Mobile Police Station,2006,67,1,Classic,2000,2000s,Simple,2000s Expansion
10073-1,Attack On Weathertop,2006,38,228,Lord Of The Rings,2000,2000s,Standard,2000s Expansion
10074-1,Gollum'S Hideout,2006,38,99,Lord Of The Rings,2000,2000s,Standard,2000s Expansion
10075-1,Shelob Attacks,2006,38,202,Lord Of The Rings,2000,2000s,Standard,2000s Expansion
10076-1,Helm'S Deep,2006,38,858,Lord Of The Rings,2000,2000s,Advanced,2000s Expansion
10077-1,The Battle Of Helm'S Deep,2006,38,1,Lord Of The Rings,2000,2000s,Simple,2000s Expansion
10078-1,Pirate Ship,2007,67,1,Classic,2000,2000s,Simple,2000s Expansion
10079-1,Sonic Transport,2007,67,1,Classic,2000,2000s,Simple,2000s Expansion
10080-1,Mindstorms Remote Control,2007,48,1,Mindstorms,2000,2000s,Simple,2000s Expansion
10081-1,Technic Bionicle,2007,67,1,Classic,2000,2000s,Simple,2000s Expansion
10082-1,Fire Rescue,2007,67,1,Classic,2000,2000s,Simple,2000s Expansion
10083-1,Race Buggy,2007,67,1,Classic,2000,2000s,Simple,2000s Expansion
10084-1,"Basic Building Set, 3+",2007,1,60,Technic,2000,2000s,Standard,2000s Expansion
10085-1,Battle Droid,2007,18,100,Star Wars,2000,2000s,Standard,2000s Expansion
10086-1,Clone Turbo Tank,2007,18,800,Star Wars,2000,2000s,Advanced,2000s Expansion
10087-1,Santa'S Workshop,2007,67,0,Classic,2000,2000s,Unknown,2000s Expansion
10088-1,Creative Building Bucket,2007,1,80,Technic,2000,2000s,Standard,2000s Expansion
10089-1,Technic Champion,2007,3,1,Technic,2000,2000s,Simple,2000s Expansion
10090-1,Scorpion Palace,2007,25,844,Orient Expedition,2000,2000s,Advanced,2000s Expansion
10091-1,Tantive Iv,2007,18,1408,Star Wars,2000,2000s,Expert,2000s Expansion
10092-1,Death Star Ii,2007,18,3441,Star Wars,2000,2000s,Expert,2000s Expansion
10093-1,Fountain,2007,67,1,Classic,2000,2000s,Simple,2000s Expansion
10094-1,Technic Car,2008,3,1,Technic,2000,2000s,Simple,2000s Expansion
10095-1,City Advent Calendar,2008,67,318,Classic,2000,2000s,Advanced,2000s Expansion
10096-1,Nba Collectors #1,2003,9,0,Creator,2000,2000s,Unknown,2000s Expansion
10097-1,Batman Cowl,2008,67,1,Classic,2000,2000s,Simple,2000s Expansion
10098-1,Grand Carousel,2009,67,3263,Classic,2000,2000s,Expert,2000s Expansion
10099-1,Ice Planet 2002,2009,67,0,Classic,2000,2000s,Unknown,2000s Expansion
10100-1,Brick Separator,2000,1,1,Technic,2000,2000s,Simple,2000s Expansion
10101-1,Christmas Set,2001,67,1,Classic,2000,2000s,Simple,2000s Expansion
10102-1,Lego Studios,2001,67,1,Classic,2000,2000s,Simple,2000s Expansion
10103-1,Tower Bridge,2010,9,4287,Creator,2010,2010s,Expert,Contemporary (2010+)
10104-1,City Square,2010,67,2456,Classic,2010,2010s,Expert,Contemporary (2010+)
