theme_id,name,parent_id
1,Technic,
2,Duplo,
3,Technic,
4,Town,
5,Castle,
6,Space,
7,Pirates,
8,Castle,
9,Creator,
10,Trains,
11,Racers,
12,Mindstorms,
13,Bionicle,
14,Harry Potter,
15,Star Wars,
16,City,
17,Dacta,
18,Star Wars,
19,Racers,
20,Basketball,
21,Sports,
22,Adventurers,
23,System,
24,4 Juniors,
25,Orient Expedition,
26,Vikings,
27,Aquazone,
28,Znap,
29,The LEGO Movie,
30,Ninjago,
31,Friends,
32,Legends of Chima,
33,Elves,
34,Nexo Knights,
35,Hidden Side,
36,Overwatch,
37,Jurassic World,
38,Lord of the Rings,
39,The Hobbit,
40,DC Comics Super Heroes,
41,Marvel Super Heroes,
42,Disney Princess,
43,Angry Birds,
44,Minecraft,
45,Harry Potter,
46,Ideas,
47,Architecture,
48,Mindstorms,
49,Technic,
50,Speed Champions,
51,Seasonal,
52,BrickHeadz,
53,Creator Expert,
54,Modular Buildings,
55,City,
56,Ninjago,
57,Space,
58,Castle,
59,Pirates,
60,Town,
61,Classic,
62,Boost,
63,Super Mario,
64,Monkie Kid,
65,Avatar,
66,VIDIYO,
67,Classic,
