year,sets_count,lag_1,lag_2,rolling_3yr_avg,rolling_5yr_avg,yoy_growth
1981,6,1.0,4.0,3.6666666666666665,3.0,500.0
2000,10,6.0,1.0,5.666666666666667,4.8,66.66666666666667
2001,10,10.0,6.0,8.666666666666666,6.2,0.0
2002,26,10.0,10.0,15.333333333333334,10.6,160.0
2003,19,26.0,10.0,18.333333333333332,14.2,-26.923076923076927
2004,26,19.0,26.0,23.666666666666668,18.2,36.8421052631579
2005,13,26.0,19.0,19.333333333333332,18.8,-50.0
2006,36,13.0,26.0,25.0,24.0,176.9230769230769
2007,29,36.0,13.0,26.0,24.6,-19.444444444444443
2008,11,29.0,36.0,25.333333333333332,23.0,-62.06896551724138
2009,10,11.0,29.0,16.666666666666668,19.8,-9.090909090909093
2010,6,10.0,11.0,9.0,18.4,-40.0
2012,1,6.0,10.0,5.666666666666667,11.4,-83.33333333333334
2013,1,1.0,6.0,2.6666666666666665,5.8,0.0
2014,1,1.0,1.0,1.0,3.8,0.0
2017,1,1.0,1.0,1.0,2.0,0.0
2020,1,1.0,1.0,1.0,1.0,0.0
